date,count,sum,high_user_ratio,high_user_ratio_smooth
2025-05-04,183,71,0.3879781420765027,0.34439602118975926
2025-05-05,182,74,0.4065934065934066,0.3801054098403244
2025-05-06,184,66,0.358695652173913,0.38442240028127417
2025-05-07,182,62,0.34065934065934067,0.36864946647555347
2025-05-08,181,57,0.3149171270718232,0.33809070663502566
2025-05-09,181,61,0.3370165745856354,0.3308643474389331
2025-05-10,182,52,0.2857142857142857,0.3125493291239148
2025-05-11,182,69,0.3791208791208791,0.3339505798069335
2025-05-12,186,53,0.2849462365591398,0.3165938004647682
2025-05-13,186,54,0.2903225806451613,0.3181298987750601
2025-05-14,183,56,0.30601092896174864,0.2937599153886833
2025-05-15,187,64,0.3422459893048128,0.3128598329705743
2025-05-16,186,55,0.2956989247311828,0.3146519476659148
2025-05-17,186,60,0.3225806451612903,0.32017518639909537
2025-05-18,185,69,0.372972972972973,0.33041751428848204
2025-05-19,185,62,0.33513513513513515,0.34356291775646614
2025-05-20,184,56,0.30434782608695654,0.33748531139835497
2025-05-21,185,65,0.35135135135135137,0.3302781041911477
2025-05-22,185,60,0.32432432432432434,0.32667450058754416
2025-05-23,186,57,0.3064516129032258,0.3273757628596339
2025-05-24,187,70,0.37433155080213903,0.3350358293432298
2025-05-25,185,62,0.33513513513513515,0.3386394329468334
2025-05-26,186,72,0.3870967741935484,0.3655211533769409
2025-05-27,183,62,0.33879781420765026,0.3536765745121113
2025-05-28,187,67,0.3582887700534759,0.3613944528182249
2025-05-29,186,63,0.3387096774193548,0.3452654205601604
2025-05-30,188,63,0.3351063829787234,0.34403494348385144
2025-05-31,188,66,0.35106382978723405,0.3416266300617708
2025-06-02,186,59,0.3172043010752688,0.33445817128040883
2025-06-03,184,57,0.30978260869565216,0.3260169131860517
2025-06-04,187,59,0.3155080213903743,0.31416497705376517
2025-06-05,185,64,0.34594594594594597,0.32374552534399087
2025-06-06,186,61,0.3279569892473118,0.32980365219454405
2025-06-07,186,68,0.3655913978494624,0.34649811101424005
2025-06-08,181,72,0.39779005524861877,0.3637794807817977
2025-06-09,185,62,0.33513513513513515,0.3661721960777388
2025-06-10,185,56,0.3027027027027027,0.34520929769548553
2025-06-11,185,56,0.3027027027027027,0.3135135135135136
2025-06-12,186,57,0.3064516129032258,0.3039523394362104
2025-06-13,187,57,0.3048128342245989,0.3046557166101759
2025-06-14,187,66,0.35294117647058826,0.3214018745328044
2025-06-15,187,66,0.35294117647058826,0.33689839572192515
2025-06-16,186,59,0.3172043010752688,0.3410288846721485
2025-06-17,189,60,0.31746031746031744,0.32920193166872486
2025-06-18,185,55,0.2972972972972973,0.31065397194429456
2025-06-19,184,63,0.3423913043478261,0.31904963970181366
2025-06-20,188,64,0.3404255319148936,0.3267047111866724
2025-06-21,190,71,0.3736842105263158,0.3521670155963452
2025-06-22,187,80,0.42780748663101603,0.3806390763574085
2025-06-23,188,62,0.32978723404255317,0.3770929770666284
2025-06-24,187,57,0.3048128342245989,0.3541358516327227
2025-06-25,187,56,0.2994652406417112,0.31135510296962116
2025-06-26,183,60,0.32786885245901637,0.3107156424417756
2025-06-27,186,58,0.3118279569892473,0.31305401669665833
2025-06-28,188,66,0.35106382978723405,0.33025354641183263
2025-06-29,187,69,0.3689839572192513,0.3439585813319109
2025-06-30,190,41,0.21578947368421053,0.3119457535635653
2025-07-02,185,69,0.372972972972973,0.319248801292145
2025-07-03,187,53,0.28342245989304815,0.2907283021834106
2025-07-04,186,57,0.3064516129032258,0.32094901525641567
2025-07-05,187,67,0.3582887700534759,0.31605428094991667
2025-07-06,184,69,0.375,0.34658012765223395
2025-07-07,185,56,0.3027027027027027,0.34533049091872625
2025-07-08,185,51,0.2756756756756757,0.3177927927927928
2025-07-09,182,53,0.29120879120879123,0.28986238986238994
2025-07-10,184,63,0.3423913043478261,0.3030919237440977
2025-07-11,183,66,0.36065573770491804,0.33141861108717846
2025-07-12,184,73,0.3967391304347826,0.36659539082917564
2025-07-13,185,77,0.41621621621621624,0.3912036947853057
2025-07-14,183,65,0.3551912568306011,0.3893822011605334
2025-07-15,184,53,0.28804347826086957,0.3531503171025623
2025-07-16,184,49,0.266304347826087,0.3031796943058526
2025-07-17,184,66,0.358695652173913,0.3043478260869566
2025-07-18,187,58,0.31016042780748665,0.3117201426024956
2025-07-19,187,68,0.36363636363636365,0.3441641478725878
2025-07-20,185,68,0.3675675675675676,0.34712145300380604
2025-07-21,186,66,0.3548387096774194,0.3620142136271169
2025-07-22,183,52,0.28415300546448086,0.335519760903156
2025-07-23,185,56,0.3027027027027027,0.31389813928153437
2025-07-24,184,56,0.30434782608695654,0.2970678447513801
2025-07-25,185,64,0.34594594594594597,0.31766549157853513
2025-07-26,183,58,0.31693989071038253,0.32241122091442836
2025-07-27,186,66,0.3548387096774194,0.33924151544458264
2025-07-28,185,60,0.32432432432432434,0.33203430823737545
2025-07-29,184,58,0.31521739130434784,0.33146014176869726
2025-07-30,184,57,0.30978260869565216,0.3164414414414415
2025-07-31,185,56,0.3027027027027027,0.3092342342342343
2025-08-02,187,58,0.31016042780748665,0.30754857973528055
2025-08-03,185,66,0.3567567567567568,0.32320662908898207
2025-08-04,184,64,0.34782608695652173,0.3382477571735884
2025-08-05,185,56,0.3027027027027027,0.3357618488053271
2025-08-06,181,53,0.292817679558011,0.31444882307241184
2025-08-07,184,57,0.30978260869565216,0.301767663652122
2025-08-08,185,57,0.3081081081081081,0.3035694654539238
2025-08-09,187,59,0.3155080213903743,0.3111329127313782
2025-08-10,186,55,0.2956989247311828,0.30643835140988845
2025-08-11,184,58,0.31521739130434784,0.3088081124753017
2025-08-12,182,58,0.31868131868131866,0.3098658782389498
2025-08-13,184,66,0.358695652173913,0.3308647873865265
2025-08-14,184,61,0.33152173913043476,0.3362995699952222
2025-08-15,186,66,0.3548387096774194,0.34835203366058903
2025-08-16,188,65,0.34574468085106386,0.34403504321963935
2025-08-17,185,64,0.34594594594594597,0.34884311215814306
2025-08-18,184,61,0.33152173913043476,0.3410707886424816
2025-08-19,183,62,0.33879781420765026,0.3387551664280104
2025-08-20,183,59,0.3224043715846995,0.33090797497426155
